mes;var;indice
Jan-04;0,42;100
feb-04;0,1;100,1
mar-04;0,59;100,69059
Apr-04;0,86;101,5565291
may-04;0,73;102,2978917
jun-04;0,57;102,8809897
jul-04;0,46;103,3542423
Aug-04;0,34;103,7056467
sep-04;0,63;104,3589923
oct-04;0,4;104,7764282
nov-04;0;104,7764282
Dec-04;0,84;105,6565502
Jan-05;1,49;107,2308328
feb-05;0,95;108,2495257
mar-05;1,55;109,9273934
Apr-05;0,49;110,4660376
may-05;0,6;111,1288338
jun-05;0,92;112,1512191
jul-05;1;113,2727313
Aug-05;0,44;113,7711313
sep-05;1,16;115,0908765
oct-05;0,78;115,9885853
nov-05;1,21;117,3920472
Dec-05;1,11;118,6950989
Jan-06;1,28;120,2143962
feb-06;0,4;120,6952537
mar-06;1,21;122,1556663
Apr-06;0,97;123,3405763
may-06;0,47;123,920277
jun-06;0,48;124,5150943
jul-06;0,62;125,2870879
Aug-06;0,56;125,9886956
sep-06;0,9;127,1225939
oct-06;0,86;128,2158482
nov-06;0,71;129,1261807
Dec-06;0,98;130,3916173
Jan-07;1,1;131,825925
feb-07;0,7;132,7487065
mar-07;1;134,0761936
Apr-07;2,3;137,159946
may-07;2,1;140,0403049
jun-07;2,7;143,8213931
jul-07;2,6;147,5607494
Aug-07;3,3;152,4302541
sep-07;2;155,4788592
oct-07;1,4;157,6555632
nov-07;-0,4;157,0249409
Dec-07;1;158,5951904
Jan-08;2;161,7670942
feb-08;2,2;165,3259702
mar-08;4,1;172,104335
Apr-08;3;177,2674651
may-08;0,2;177,622
jun-08;2,4;181,884928
jul-08;1,4;184,431317
Aug-08;0,8;185,9067675
sep-08;1,1;187,951742
oct-08;0,6;189,0794524
nov-08;0,6;190,2139291
Dec-08;0,4;190,9747848
Jan-09;1,2;193,2664823
feb-09;0;193,2664823
mar-09;2,3;197,7116114
Apr-09;1,8;201,2704204
may-09;0,9;203,0818541
jun-09;0,5;204,0972634
jul-09;1;206,138236
Aug-09;1,9;210,0548625
sep-09;1,5;213,2056855
oct-09;1,7;216,8301821
nov-09;1,2;219,4321443
Dec-09;3,2;226,4539729
Jan-10;2,2;231,4359603
feb-10;4,4;241,6191426
mar-10;2,6;247,9012403
Apr-10;1,4;251,3718577
may-10;1,6;255,3938074
jun-10;1,1;258,2031393
jul-10;1,5;262,0761863
Aug-10;1,1;264,9590244
sep-10;1,6;269,1983688
oct-10;3,3;278,081915
nov-10;1,9;283,3654713
Dec-10;1,7;288,1826844
Jan-11;1,1;291,3526939
feb-11;1,1;294,5575735
mar-11;2,7;302,510628
Apr-11;2,6;310,3759043
may-11;1,7;315,6522947
jun-11;1,5;320,3870791
jul-11;1,7;325,8336595
Aug-11;2,4;333,6536673
sep-11;1,9;339,993087
oct-11;1,1;343,7330109
nov-11;1,4;348,5452731
Dec-11;1,9;355,1676333
Jan-12;1,2;359,4296449
feb-12;1,5;364,8210895
mar-12;3,4;377,2250066
Apr-12;2;384,7695067
may-12;1,9;392,0801274
jun-12;1,3;397,177169
jul-12;1,7;403,9291809
Aug-12;2,22;412,8964087
sep-12;1,53;419,2137237
oct-12;1,57;425,7953792
nov-12;2,15;434,9499799
Dec-12;1,89;443,1705345
Jan-13;2,23;453,0532374
feb-13;1,02;457,6743804
mar-13;1,65;465,2260077
Apr-13;1,91;474,1118244
may-13;1,59;481,6502025
jun-13;1,98;491,1868765
jul-13;2,44;503,1718362
Aug-13;2,15;513,9900307
sep-13;2,25;525,5548064
oct-13;2,38;538,0630108
nov-13;2,46;551,2993609
Dec-13;2,34;564,1997659
Jan-14;4,53;589,7580153
feb-14;4,49;616,2381502
mar-14;3,67;638,8540903
Apr-14;3,19;659,2335358
may-14;2,62;676,5054544
jun-14;2,27;691,8621283
jul-14;2,08;706,2528605
Aug-14;2,21;721,8610487
sep-14;2,33;738,6804112
oct-14;1,99;753,3801514
